max_depth,training_accuracy,test_accuracy
1,0.8402980239714933,0.8352229780801209
2,0.8514199330525862,0.8362307886117409
3,0.8602742684375337,0.8422776518014613
4,0.870532339920095,0.8392542202066012
5,0.8833819241982507,0.8354749307130258
6,0.8978512039736528,0.8324514991181657
7,0.9162077529424467,0.8259007306626355
8,0.9312169312169313,0.8246409674981102
9,0.9470899470899471,0.8080120937263795
10,0.9606953892668177,0.8072562358276644
