C,training_accuracy,test_accuracy
1e-08,0.8402980239714933,0.8352229780801209
1e-05,0.8402980239714933,0.8352229780801209
0.001,0.8402980239714933,0.8352229780801209
0.1,0.8469927653601124,0.8395061728395059
0.2,0.8490443796566247,0.8420256991685563
0.4,0.849368318756074,0.8415217939027462
0.75,0.8496922578555233,0.8430335097001762
1.0,0.8509880142533204,0.8432854623330813
