learning_rate,training_accuracy,test_accuracy
0.1,0.9154518950437317,0.8485764676240867
0.01,0.8545513443472628,0.8410178886369363
0.001,0.8402980239714933,0.8352229780801209
0.0001,0.8402980239714933,0.8352229780801209
0.5,0.9976244466040386,0.8261526832955404
0.05,0.8950437317784254,0.8490803728898968
0.005,0.8402980239714933,0.8352229780801209
