n_estimators,training_accuracy,test_accuracy
1,0.9183673469387755,0.7742504409171075
2,0.9265738041248244,0.8309397833207357
3,0.9616672065651658,0.8077601410934744
4,0.9543245869776482,0.8405139833711263
5,0.9748407299427707,0.8226253464348701
6,0.9703055825504805,0.8324514991181657
7,0.9826152683295543,0.8286722096245905
8,0.9754886081416694,0.8367346938775511
9,0.986610517222762,0.8354749307130259
10,0.9813195119317568,0.8397581254724112
