n_estimators,training_accuracy,test_accuracy
1,0.9196631033365728,0.7719828672209624
2,0.9302451139185836,0.834971025447216
3,0.9611273080660836,0.8127991937515747
4,0.9551884245761797,0.8347190728143109
5,0.9766763848396501,0.8238851095993953
6,0.9693337652521326,0.8387503149407911
7,0.9827232480293705,0.8301839254220208
8,0.9740848720440556,0.8369866465104562
9,0.9875823345211098,0.8332073570168809
10,0.983587085627902,0.8405139833711263
