n_estimators,training_accuracy,test_accuracy
1,0.9220386567325343,0.764928193499622
2,0.9302451139185833,0.8291761148904007
3,0.9591836734693877,0.8092718568909044
4,0.9542166072778318,0.8364827412446458
5,0.9762444660403844,0.82010582010582
6,0.9680380088543353,0.835726883345931
7,0.9857466796242308,0.8259007306626356
8,0.9766763848396501,0.8400100781053162
9,0.9870424360220276,0.8387503149407913
10,0.983587085627902,0.8407659360040313
