max_depth,training_accuracy,test_accuracy
1,0.8402980239714933,0.8352229780801209
2,0.8530396285498327,0.8390022675736962
3,0.8605982075369831,0.8415217939027461
4,0.8713961775186266,0.8392542202066011
5,0.8847856602958644,0.8352229780801209
6,0.899362919771083,0.8327034517510709
7,0.9162077529424467,0.8271604938271605
8,0.9331605658136269,0.8163265306122448
9,0.9492495410862758,0.8087679516250944
10,0.9620991253644314,0.8029730410682792
