C,training_accuracy,test_accuracy
1e-08,0.8402980239714933,0.8352229780801209
1e-05,0.8402980239714933,0.8352229780801209
0.001,0.8402980239714933,0.8352229780801209
0.1,0.8500161969549725,0.8420256991685565
0.2,0.8528236691501998,0.8447971781305115
0.4,0.8555231616456107,0.8463088939279415
0.75,0.8553072022459776,0.8473167044595615
1.0,0.855415181945794,0.8470647518266566
